Instance,Solved,Makespan,PlanLength,TotalDelay,SlowdownDelay,BlockageDelay,EngineRepairDelay,Time,States,MemoryError,Timeout
p101,1,39.003,9,14.000,0.000,2.000,12.000,0.030,13,0,0
p102,1,35.003,11,14.000,0.000,2.000,12.000,0.030,15,0,0
p103,1,36.003,13,16.000,0.000,4.000,12.000,0.080,127,0,0
p104,1,30.465,15,15.000,0.000,3.000,12.000,0.070,19,0,0
p105,1,30.359,17,15.000,0.000,3.000,12.000,0.100,21,0,0
p106,1,41.003,19,14.000,0.000,2.000,12.000,0.140,23,0,0
p107,1,33.076,21,14.000,0.000,2.000,12.000,0.250,331,0,0
p108,1,39.003,23,16.000,0.000,4.000,12.000,0.310,397,0,0
p109,1,45.003,25,14.000,0.000,2.000,12.000,0.390,469,0,0
p110,1,96.239,27,147.963,131.963,4.000,12.000,1.440,547,0,0
p111,1,44.003,31,14.000,0.000,2.000,12.000,0.680,721,0,0
p112,1,45.003,33,15.000,0.000,3.000,12.000,0.760,817,0,0
p113,1,37.003,35,15.000,0.000,3.000,12.000,0.840,919,0,0
p114,1,33.693,37,14.000,0.000,2.000,12.000,0.990,1027,0,0
p115,1,41.003,39,16.000,0.000,4.000,12.000,1.220,1141,0,0
p116,1,48.003,41,15.000,0.000,3.000,12.000,1.370,1261,0,0
p117,1,35.001,43,14.000,0.000,2.000,12.000,1.640,1387,0,0
p118,1,43.003,45,15.000,0.000,3.000,12.000,1.970,1519,0,0
p119,1,38.003,47,15.000,0.000,3.000,12.000,2.200,1657,0,0
p120,1,98.088,49,308.109,292.109,4.000,12.000,7.140,1801,0,0
p121,1,34.664,53,15.000,0.000,3.000,12.000,3.070,2107,0,0
p122,1,32.482,55,16.000,0.000,4.000,12.000,3.420,2269,0,0
p123,1,48.003,57,15.000,0.000,3.000,12.000,3.440,2437,0,0
p124,1,35.003,59,16.000,0.000,4.000,12.000,3.950,2611,0,0
p125,1,42.003,61,14.000,0.000,2.000,12.000,4.150,2791,0,0
p126,1,45.003,64,17.000,0.000,5.000,12.000,4.940,3067,0,0
p127,1,45.003,66,18.000,0.000,6.000,12.000,5.430,3262,0,0
p128,1,33.693,68,18.000,0.000,6.000,12.000,6.360,3463,0,0
p129,1,34.003,70,17.000,0.000,5.000,12.000,6.720,3670,0,0
p130,1,117.018,74,461.824,444.824,5.000,12.000,11.010,4102,0,0
p131,1,42.003,76,32.000,0.000,8.000,24.000,9.750,4287,0,0
p132,1,46.003,79,34.000,0.000,10.000,24.000,10.750,4618,0,0
p133,1,47.003,81,33.000,0.000,9.000,24.000,12.230,4852,0,0
p134,1,47.003,83,32.000,0.000,8.000,24.000,12.860,5102,0,0
p135,1,40.003,85,32.000,0.000,8.000,24.000,14.290,5351,0,0
p136,1,48.003,87,32.000,0.000,8.000,24.000,8.480,95,0,0
p137,1,43.003,89,33.000,0.000,9.000,24.000,17.020,5868,0,0
p138,1,47.003,93,32.000,0.000,8.000,24.000,17.110,6417,0,0
p139,1,41.003,95,34.000,0.000,10.000,24.000,20.070,6708,0,0
p140,1,89.497,99,590.823,543.823,11.000,36.000,74.390,7215,0,0
p141,1,34.664,101,44.000,0.000,8.000,36.000,15.190,111,0,0
p142,1,43.003,103,48.000,0.000,12.000,36.000,30.790,7812,0,0
p143,1,47.003,106,49.000,0.000,13.000,36.000,17.940,117,0,0
p144,1,41.003,110,45.000,0.000,9.000,36.000,35.610,8905,0,0
p145,1,44.003,112,48.000,0.000,12.000,36.000,20.950,123,0,0
p146,1,36.001,114,48.000,0.000,12.000,36.000,21.700,125,0,0
p147,1,46.003,116,46.000,0.000,10.000,36.000,39.130,9927,0,0
p148,1,46.003,118,50.000,0.000,14.000,36.000,45.430,10263,0,0
p149,1,42.003,120,51.000,0.000,15.000,36.000,49.020,10620,0,0
p150,1,120.371,122,773.686,727.686,10.000,36.000,66.590,11032,0,0
p151,1,44.003,126,49.000,0.000,13.000,36.000,30.590,137,0,0
p152,1,39.003,128,48.000,0.000,12.000,36.000,60.080,12110,0,0
p153,1,48.003,133,62.000,0.000,14.000,48.000,72.200,12976,0,0
p154,1,35.654,135,60.000,0.000,12.000,48.000,46.390,149,0,0
p155,1,46.003,137,64.000,0.000,16.000,48.000,46.550,151,0,0
p156,1,48.003,139,66.000,0.000,18.000,48.000,48.240,153,0,0
p157,1,45.003,143,62.000,0.000,14.000,48.000,92.870,15048,0,0
p158,1,44.003,145,65.000,0.000,17.000,48.000,53.380,159,0,0
p159,1,104.895,147,864.562,798.562,18.000,48.000,184.920,161,0,0
p160,1,65.403,149,63.000,0.000,15.000,48.000,202.680,16320,0,0
p161,1,45.003,151,61.000,0.000,13.000,48.000,60.960,165,0,0
p162,1,45.003,153,64.000,0.000,16.000,48.000,61.580,167,0,0
p163,1,43.003,155,63.000,0.000,15.000,48.000,69.310,169,0,0
p164,1,45.003,160,68.000,0.000,20.000,48.000,75.700,175,0,0
p165,1,45.003,162,64.000,0.000,16.000,48.000,82.020,177,0,0
p166,1,45.003,166,78.000,0.000,18.000,60.000,98.100,183,0,0
p167,1,46.003,168,77.000,0.000,17.000,60.000,97.470,185,0,0
p168,1,48.003,170,77.000,0.000,17.000,60.000,108.540,187,0,0
p169,1,47.003,172,78.000,0.000,18.000,60.000,110.870,189,0,0
p170,1,121.052,176,1073.229,993.229,20.000,60.000,167.790,193,0,0
p171,1,44.003,180,97.000,0.000,25.000,72.000,135.160,201,0,0
p172,1,44.003,182,98.000,0.000,26.000,72.000,156.190,203,0,0
p173,1,48.003,184,95.000,0.000,23.000,72.000,148.210,205,0,0
p174,1,46.003,190,107.000,0.000,23.000,84.000,176.320,213,0,0
p175,1,45.003,192,109.000,0.000,25.000,84.000,184.680,215,0,0
p176,1,48.003,194,105.000,0.000,21.000,84.000,194.490,217,0,0
p177,1,47.003,198,106.000,0.000,22.000,84.000,202.590,221,0,0
p178,1,47.003,200,107.000,0.000,23.000,84.000,216.960,223,0,0
p179,1,46.003,205,110.000,0.000,26.000,84.000,224.470,229,0,0
p180,1,127.317,207,1237.044,1125.044,28.000,84.000,331.070,231,0,0
p181,1,48.003,209,110.000,0.000,26.000,84.000,239.770,233,0,0
p182,1,48.003,213,109.000,0.000,25.000,84.000,243.080,237,0,0
p183,1,46.003,217,121.000,0.000,25.000,96.000,278.440,243,0,0
p184,1,40.003,219,124.000,0.000,28.000,96.000,286.160,245,0,0
p185,1,42.003,223,120.000,0.000,24.000,96.000,295.070,249,0,0
p186,1,47.003,226,128.000,0.000,32.000,96.000,304.510,253,0,0
p187,1,48.003,230,130.000,0.000,34.000,96.000,322.580,257,0,0
p188,1,47.003,232,128.000,0.000,32.000,96.000,333.770,259,0,0
p189,1,45.003,234,123.000,0.000,27.000,96.000,343.700,261,0,0
p190,1,138.992,238,1466.305,1336.305,34.000,96.000,532.080,265,0,0
p191,1,95.392,240,1439.886,1313.886,30.000,96.000,1231.150,267,0,0
p192,1,94.484,242,1448.248,1322.248,30.000,96.000,1250.110,269,0,0
p193,1,48.003,246,129.000,0.000,33.000,96.000,403.150,273,0,0
p194,1,46.003,248,129.000,0.000,33.000,96.000,418.720,275,0,0
p195,1,43.003,252,129.000,0.000,33.000,96.000,426.790,279,0,0
p196,1,48.003,254,122.000,0.000,26.000,96.000,440.260,281,0,0
p197,1,47.003,256,127.000,0.000,31.000,96.000,448.540,283,0,0
p198,1,48.003,260,122.000,0.000,26.000,96.000,470.570,287,0,0
p199,1,45.003,262,128.000,0.000,32.000,96.000,481.720,289,0,0
p200,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0,1,0